"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU","AR","CNT"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_LANGUAGE_LOCALIZED_NAME","English","Français","Deutsch","Español","Italiano","Nederlands","Norsk","Português","Türkçe","日本語","简体中文","한국어","Русский","العربية","繁體中文"
"TID_BUILDING_HOUSE","House","Maison","Haus","Casa","Casa","Huis","Hus","Casa","Ev","住居","房屋","인구","Дом","منزل","房屋"
"TID_BUILDING_HOUSING","Army Camp","Camp militaire","Armeelager","Campamento","Accampamento","Legerkamp","Militærleir","Acampamento","Ordu Kampı","アーミーキャンプ","兵营","집합소","Военный Лагерь","معسكر الجيش","兵營"
"TID_BUILDING_TOWN_HALL","Town Hall","Hôtel de ville","Rathaus","Ayuntamiento","Municipio","Stadhuis","Rådhus","Centro da Vila","Belediye Binası","タウンホール","大本营","마을 회관","Ратуша","قاعة المدينة","大本營"
"TID_BUILDING_ELIXIR_PUMP","Elixir Collector","Extracteur d'élixir","Elixiersammler","Recolector de elixir","Estrattore di elisir","Elixirpomp","Eliksirpumpe","Coletor de Elixir","İksir Toplayıcı","エリクサーポンプ","圣水收集器","엘릭서 정제소","Сборщик Эликсира","مستخرج الإكسير","聖水收集器"
"TID_BUILDING_ELIXIR_STORAGE","Elixir Storage","Réservoir d'élixir","Elixierlager","Almacén de elixir","Deposito di elisir","Elixirtank","Eliksirlager","Depósito de Elixir","İksir Deposu","エリクサータンク","圣水瓶","엘릭서 저장소","Эликсирохранилище","مخزن الإكسير","聖水瓶"
"TID_BUILDING_GOLD_MINE","Gold Mine","Mine d'or","Goldmine","Mina de oro","Miniera d'oro","Goudmijn","Gullgruve","Mina de Ouro","Altın Madeni","金山","金矿","금광","Золотая Шахта","منجم الذهب","金礦"
"TID_BUILDING_GOLD_STORAGE","Gold Storage","Réserve d'or","Goldlager","Almacén de oro","Deposito d'oro","Goudkluis","Gullager","Depósito de Ouro","Altın Deposu","金庫","储金罐","골드 저장소","Золотохранилище","مخزن الذهب","儲金罐"
"TID_BUILDING_BARRACK","Barracks","Caserne","Kaserne","Cuartel","Caserma","Kazerne","Brakker","Quartel","Kışla","兵舎","训练营","훈련소","Казарма","ثكنات","訓練營"
"TID_BUILDING_CANNON","Cannon","Canon","Kanone","Cañón","Cannone","Kanon","Kanon","Canhão","Top","大砲","加农炮","대포","Пушка","مدفع","加農炮"
"TID_BUILDING_TESLA_TOWER","Hidden Tesla","Tesla camouflée","Verborgener Tesla","Torre Tesla","Tesla occulta","Verborgen Tesla","Skjult tesla","Tesla Oculta","Gizli Tesla","かくしテスラ","特斯拉电磁塔","숨겨진 뇌전탑","Потайная Тесла","تيسلا مخفية","特斯拉電磁塔"
"TID_BUILDING_WALL","Wall","Rempart","Mauer","Muro","Muro","Muur","Mur","Muro","Duvar","壁","城墙","장벽","Стена","جدار","城牆"
"TID_BUILDING_FENCE","Fence","Barrière","Zaun","Valla","Staccionata","Hek","Gjerde","Cerca","Çit","柵","篱笆","울타리","Забор","سياج","籬笆"
"TID_BUILDING_WIZARD_TOWER","Wizard Tower","Tour de sorciers","Magierturm","Torre de mago","Torre dello stregone","Tovenaarstoren","Trollmannstårn","Torre do Mago","Büyücü Kulesi","ウィザードの塔","法师塔","마법사 타워","Башня Колдуна","برج الساحر","法師塔"
"TID_BUILDING_AIR_DEFENSE","Air Defense","Défense anti-aérienne","Luftabwehr","Cohetes de defensa","Difesa aerea","Luchtafweer","Luftforsvar","Defesa Aérea","Hava Savunması","対空砲","防空火箭","대공포","Воздушная Оборона","دفاع جوي","防空火箭"
"TID_BUILDING_MORTAR","Mortar","Mortier","Minenwerfer","Mortero","Mortaio","Mortier","Morter","Morteiro","Havan","迫撃砲","迫击炮","박격포","Мортира","مدفع هاون","迫擊砲"
"TID_WORKER_BUILDING","Builder's Hut","Cabane d'ouvrier","Bauhütte","Choza de constructor","Capanna del costruttore","Bouwkeet","Byggerhytte","Cabana do Construtor","İnşaatçı Kulübesi","大工の小屋","建筑工人小屋","장인의 집","Хижина Строителя","كوخ البنّاء","建築工人小屋："
"TID_BUILDING_LABORATORY","Laboratory","Laboratoire","Labor","Laboratorio","Laboratorio","Laboratorium","Laboratorium","Laboratório","Laboratuvar","ラボ","试验室","연구소","Лаборатория","معمل","實驗室"
"TID_TRAP_BOMB","Bomb Trap","Piège à bombe","Bombenfalle","Trampa bomba","Trappola bomba","Bomval","Bombefelle","Armadilha de Bomba","Bombalı Tuzak","爆弾","隐形炸弹","폭탄 함정","Бомба-Ловушка","فخ القنبلة","隱形炸彈"
"TID_TRAP_EJECT","Spring Trap","Piège à ressort","Sprungfalle","Trampa con muelle","Trappola a scatto","Veerval","Sprettfelle","Armadilha de Mola","Yaylı Tuzak","ばねトラップ","隐形弹簧","점핑 트랩","Ловушка-пружина","فخ الزنبرك","隐形弹簧"
"TID_TRAP_TIMETRAP","Time Trap","Bombe à retardement","Zeitfalle","Trampa de tiempo","Trappola a tempo","Tijdval","Tidsfelle","Armadilha de Tempo","Zaman Tuzağı","タイムトラップ","时间陷阱","시간 함정","Часовая Ловушка","فخ الوقت","時間陷阱"
"TID_BUTTON_SPEEDUP","Finish Now","Terminer","Jetzt beenden","Terminar ya","Completa ora","Nu voltooien","Fullfør nå","Concluir agora","Şimdi Bitir","今すぐ完成","立刻完成","즉시 완료","Заверши Сейчас","إنهاء الآن","立即完成"
"TID_BUTTON_UPGRADE","Upgrade","Améliorer","Verbes-\nsern","Mejorar","Migliora","Upgraden","Oppgrader","Melhorar","Yükselt","アップグレード","升级","업그레이드","Улучшить","ترقية","升級"
"TID_BUTTON_ATTACK","Attack!","Attaquer","Angriff!","Atacar","Attacco!","Aanvallen!","Angrip!","Atacar!","Saldır!","攻撃","进攻！","공격!","В бой!","هجوم!","攻擊！"
"TID_BUTTON_SHOP","Shop","Magasin","Shop","Tienda","Negozio","Winkel","Butikk","Loja","Dükkan","ショップ","商店","상점","Магазин","المتجر","商店"
"TID_BUTTON_SELL","Sell","Vendre","Verkaufen","Vender","Vendi","Verkopen","Selg","Vender","Sat","売る","出售","판매","Продать","بيع","賣出"
"TID_BUTTON_CANCEL","Cancel","Annuler","Abbrechen","Cancelar","Annulla","Annuleren","Avbryt","Cancelar","İptal","キャンセル","取消","취소","Отмена","إلغاء","取消"
"TID_BUTTON_TRAIN","Train Troops","Former","Truppen ausbilden","Entrenar","Addestra truppe","Troepen trainen","Tren soldater","Treinar Tropas","Birlik Eğit","ユニットの訓練","训练军队","유닛 훈련","Тренировать Войска","تدريب القوات","訓練部隊"
"TID_BUTTON_COLLECT","Collect","Récupérer","Sammeln","Recoger","Prendi","Verzamelen","Samle","Coletar","Topla","回収","收集","저장","Собрать","جمع","收集"
"TID_BUTTON_INFO","Info","Infos","Info","Infor.","Info","Info","Info","Info","Bilgi","情報","信息","정보","Информация","معلومة","資訊"
"TID_BUTTON_CLEAR","Remove","Supprimer","Entfernen","Eliminar","Rimuovi","Verwijderen","Fjern","Remover","Kaldır","取り除く","移除","제거","Удалить","إزالة","移除"
"TID_BUTTON_HOME","Return Home","Rentrer","Nach Hause","Volver","Torna al villaggio","Terug naar huis","Hjem","Voltar","Eve Dön","ホームに戻る","回营","돌아가기","Домой","العودة إلى الصفحة الرئيسية","回到主畫面"
"TID_BUTTON_ACCEPT","Accept","Accepter","Annehmen","Aceptar","Accetta","Accepteren","Godta","Aceitar","Kabul Et","承認","接受","수락","Принять","قبول","接受"
"TID_BUTTON_REJECT","Reject","Rejeter","Ablehnen","Rechazar","Rifiuta","Weigeren","Avvis","Recusar","Reddet","拒否","拒绝","거절","Отказать","رفض","拒絕"
"TID_BUTTON_SEND","Send","Envoyer","Senden","Enviar","Invia","Versturen","Send","Enviar","Gönder","送信","发送","전송","Отправить","إرسال","傳送"
"TID_BUTTON_JOIN","Join","Rejoindre","Beitreten","Unirse","Unisciti","Meedoen","Bli med","Participar","Katıl","参加","加入","가입","Присоединиться","انضمام","加入"
"TID_TAB_GLOBAL_CHAT","Global","Général","Global","General","Globale","Wereldwijd","Global","Global","Küresel","グローバル","公众聊天","전체","Глобальный","عالمي","公共聊天"
"TID_TAB_ALLIANCE_CHAT","Clan","Clan","Clan","Clan","Clan","Clan","Klan","Clã","Klan","クラン","部落内部","클랜","Клан","قبيلة","部落"
"TID_OBSTACLE_TREE","Tree","Arbre","Baum","Árbol","Albero","Boom","Tre","Árvore","Ağaç","木","树","나무","Дерево","شجرة","樹木"
"TID_OBSTACLE_STONE","Stone","Rocher","Stein","Roca","Pietra","Steen","Stein","Pedra","Kaya","岩","石头","바위","Камень","حجر","石頭"
"TID_OBSTACLE_BUSH","Bush","Buisson","Busch","Arbusto","Cespuglio","Struik","Busk","Arbusto","Çalı","やぶ","灌木","덤불","Куст","شجيرة","灌木叢"
"TID_OBSTACLE_TRUNK","Trunk","Tronc","Stamm","Tronco","Tronco","Stronk","Trestamme","Tronco","Kütük","木の幹","树干","나무 기둥","Сухой Ствол","جذع","樹幹"
"TID_OBSTACLE_MUSHROOM","Mushroom","Champignons","Pilz","Setas","Fungo","Paddenstoel","Sopp","Cogumelos","Mantar","キノコ","蘑菇","꽃버섯","Гриб","فطر","蘑菇"
"TID_DECORATION_BARBARIAN_STATUE","Mighty Statue","Grande statue","Mächtige Statue","Estatua de poder","Statua imponente","Machtig standbeeld","Storslagen statue","Estátua Poderosa","Dev Heykel","偉大なる像","万能神像","전사 동상","Могучая Статуя","تمثال عظيم","萬能神像"
"TID_DECORATION_TORCH","Torch","Torche","Fackel","Antorcha","Torcia","Toorts","Fakkel","Tocha","Meşale","たいまつ","火把","횃불","Факел","كشاف","火把"
"TID_DECORATION_WHITE_FLAG","White Flag","Drapeau blanc","Weiße Flagge","Bandera blanca","Bandiera bianca","Witte vlag","Hvitt flagg","Bandeira Branca","Beyaz Bayrak","白い旗","白旗","하얀 깃발","Белый Флаг","علم أبيض","白旗"
"TID_DECORATION_SKULL_FLAG","Pirate Flag","Drapeau de pirate","Piratenflagge","Bandera pirata","Bandiera pirata","Piratenvlag","Sjørøverflagg","Bandeira Pirata","Korsan Bayrağı","海賊の旗","海盗旗","해적 깃발","Пиратский Флаг","علم القراصنة","海盜旗"
"TID_DECORATION_FLOWERBOX1","Cornflower Bed","Plant de fleurs roses","Kornblumen-\nbeet","Macizo de acianos","Aiuola di fiordalisi","Korenbloembed","Kornblomster","Canteiro de Centáureas","Çiçek Tarhı","ヤグルマソウの花壇","矢车菊","국화 화단","Клумба Васильков","فراش من النبات البري","矢車菊"
"TID_DECORATION_FLOWERBOX2","Sunflower Bed","Plant de tournesols","Sonnenblumen-\nbeet","Macizo de girasoles","Aiuola di girasoli","Zonnebloembed","Solsikker","Canteiro de Girassóis","Ayçiçeği Tarhı","ヒマワリの花壇","太阳花","해바라기 화단","Клумба Подсолнухов","فراش من زهور عباد الشمس","太陽花"
"TID_DECORATION_WINDMETER","Weather Vane","Girouette","Windrad","Veleta","Segnavento","Weervaantje","Værhane","Cata-Vento","Rüzgar Gülü","風向計","风向标","풍향계","Флюгер","دليل اتجاه الرياح","風向標"
"TID_DECORATION_DOWNARROW_FLAG","Rally Flag","Drapeau de rassemblement","Versammlungs-\nbanner","Bandera de reunión","Bandiera di raduno","Verzamelvlag","Samlingsflagg","Bandeira de Seta 1","Ralli Bayrağı","集合地点の旗","集合旗","하향 깃발","Флаг Сбора","علم السباق","集合旗"
"TID_DECORATION_UPARROW_FLAG","Point Flag","Drapeau de positionnement","Richtungs-\nbanner","Bandera de dirección","Bandiera di posizione","Richtingvlag","Punktflagg","Bandeira de Seta 2","Nokta Bayrağı","重要地点の旗","点标旗","상향 깃발","Флаг со Стрелкой","علم الإشارة","點標旗"
"TID_DECORATION_SKULL_ALTAR","Ancient Skull","Crâne ancien","Alter Schädel","Calavera antigua","Teschio antico","Antieke schedel","Gammel hodeskalle","Crânio Antigo","Antik Kafatası","太古のドクロ","古代头骨","고대 유물","Древний Череп","جمجمة قديمة","古代頭骨"
